state,state abbreviation,locality,locality type,address,Phone
Minnesota,MN,Aitkin County,County,"307 2nd St NW Rm 121  Aitkin, MN 56431",218-927-7354
Minnesota,MN,Anoka County,County,"2100 3rd Ave, Suite W130  Anoka, MN 55303-5031",763-324-1300
Minnesota,MN,Becker County,County,"915 Lake Ave  Detroit Lakes, MN 56501",218-846-7311
Minnesota,MN,Beltrami County,County,"701 Minnesota Ave NW Ste 220  Bemidji, MN 56601-3178",218-333-8476
Minnesota,MN,Benton County,County,"531 Dewey St  Foley, MN 56329-0129",320-968-5027
Minnesota,MN,Big Stone County,County,"20 2nd St SE Ste 103  Ortonville, MN 56278",320-839-6366
Minnesota,MN,Blue Earth County,County,"204 S 5th St  Mankato, MN 56001",507-304-4341
Minnesota,MN,Brown County,County,"14 South State St  New Ulm, MN 56073",507-233-6614
Minnesota,MN,Carlton County,County,"301 Walnut Ave  Carlton, MN 55718",218-384-9127
Minnesota,MN,Carver County,County,"600 E Fourth St  Chaska, MN 55318-2102",952-361-1941
Minnesota,MN,Cass County,County,"303 Minnesota Ave W  Walker, MN 56484",218-547-7275
Minnesota,MN,Chippewa County,County,"629 N 11th St  Montevideo, MN 56265",320-269-7447
Minnesota,MN,Chisago County,County,"313 N Main St Rm 271  Center City, MN 55012-7656",651-213-8509
Minnesota,MN,Clay County,County,"807 N 11th St  Moorhead, MN 56560",218-299-5006
Minnesota,MN,Clearwater County,County,"213 Main Ave N Dept 202  Bagley, MN 56621-8304",218-694-6520
Minnesota,MN,Cook County,County,"411 W 2nd St  Grand Marais, MN 55604",218-387-3642
Minnesota,MN,Cottonwood County,County,"900 3rd Ave  Windom, MN 56101",507-831-1342
Minnesota,MN,Crow Wing County,County,"326 Laurel St - Historic Courthouse Ste 22  Brainerd, MN 56401",218-824-1051
Minnesota,MN,Dakota County,County,"1590 Highway 55 Ste 2300  Hastings, MN 55033",651-438-4305
Minnesota,MN,Dodge County,County,"721 Main Street North, Dept 45  Mantorville, MN 55955-2204",507-635-6239
Minnesota,MN,Douglas County,County,"305 8th Ave W  Alexandria, MN 56308",320-762-3077
Minnesota,MN,Faribault County,County,"415 N Main St  Blue Earth, MN 56013",507-526-6212
Minnesota,MN,Fillmore County,County,"101 Fillmore St  Preston, MN 55965",507-765-3811
Minnesota,MN,Freeborn County,County,"411 S Broadway  Albert Lea, MN 56007",507-377-5121
Minnesota,MN,Goodhue County,County,"509 W 5th St  Red Wing, MN 55066",651-385-3040
Minnesota,MN,Grant County,County,"10 2nd St NE  Elbow Lake, MN 56531-4400",218-685-8236
Minnesota,MN,Hennepin County,County,"300 South 6th St MC 012  Minneapolis, MN 55487-0012",612-348-5151
Minnesota,MN,Houston County,County,"304 S Marshall St Rm 116  Caledonia, MN 55921",507-725-5803
Minnesota,MN,Hubbard County,County,"301 Court Ave  Park Rapids, MN 56470",218-732-3196
Minnesota,MN,Isanti County,County,"555 18th Avenue SW  Cambridge, MN 55008",763-689-1644
Minnesota,MN,Itasca County,County,"123 NE 4th St  Grand Rapids, MN 55744",218-327-2849
Minnesota,MN,Jackson County,County,"405 4th St PO Box 226  Jackson, MN 56143",507-847-2763
Minnesota,MN,Kanabec County,County,"18 N Vine St Ste 261-A  Mora, MN 55051-1351",320-679-6430
Minnesota,MN,Kandiyohi County,County,"400 Benson Ave SW  Willmar, MN 56201",320-231-6202
Minnesota,MN,Kittson County,County,"410 5th St SE Ste 212  Hallock, MN 56728",218-843-2655
Minnesota,MN,Koochiching County,County,"715 4th St  International Falls, MN 56649",218-283-1112
Minnesota,MN,Lac qui Parle County,County,"600 6th Street, Ste 6  Madison, MN 56256",320-598-7444
Minnesota,MN,Lake County,County,"601 3rd Ave  Two Harbors, MN 55616",218-834-8473
Minnesota,MN,Lake of the Woods County,County,"206 8th Ave SE Ste 260  Baudette, MN 56623",218-634-2836
Minnesota,MN,Le Sueur County,County,"88 S Park Ave  Le Center, MN 56057",507-357-2251
Minnesota,MN,Lincoln County,County,"319 N Rebecca St, PO Box 29 Ivanhoe, MN 56142",507-694-1529
Minnesota,MN,Lyon County,County,"607 W Main  Marshall, MN 56258",507-537-6724
Minnesota,MN,Mahnomen County,County,"311 N Main St  Mahnomen, MN 56557",218-935-5669
Minnesota,MN,Marshall County,County,"208 E Colvin Ave, Ste 11  Warren, MN 56762",218-745-4851
Minnesota,MN,Martin County,County,"201 Lake Ave  Fairmont, MN 56031",507-238-3211
Minnesota,MN,McLeod County,County,"2391 Hennepin Ave N  Glencoe, MN 55336",320-864-1203
Minnesota,MN,Meeker County,County,"325 Sibley Ave N  Litchfield, MN 55355",320-693-5212
Minnesota,MN,Mille Lacs County,County,"635 2nd St SE  Milaca, MN 56353",320-983-8310
Minnesota,MN,Morrison County,County,"213 SE 1st Ave  Little Falls, MN 56345",320-632-0132
Minnesota,MN,Mower County,County,"201 1st St. NE, Ste 7 Austin, MN 55912",507-437-9535
Minnesota,MN,Murray County,County,"2500 28th St  Slayton, MN 56172-0057",507-836-1154
Minnesota,MN,Nicollet County,County,"501 S Minnesota Ave  St Peter, MN 56082",507-934-7806
Minnesota,MN,Nobles County,County,"315 10th St  Worthington, MN 56187",507-295-5258
Minnesota,MN,Norman County,County,"16 E 3rd Ave  Ada, MN 56510",218-784-5471
Minnesota,MN,Olmsted County,County,"151 4th St SE  Rochester, MN 55904</div>",507-328-7650
Minnesota,MN,Otter Tail County,County,"510 Fir Ave W  Fergus Falls, MN 56537",218-998-8040
Minnesota,MN,Pennington County,County,"101 Main Ave N  Thief River Falls, MN 56701",218-683-7000
Minnesota,MN,Pine County,County,"635 Northridge Dr NW Ste 240  Pine City, MN 55063",320-591-1670
Minnesota,MN,Pipestone County,County,"416 Hiawatha Ave S  Pipestone, MN 56164",507-825-1140
Minnesota,MN,Polk County,County,"612 N Broadway Ste 207  Crookston, MN 56716-1452",218-281-2554
Minnesota,MN,Pope County,County,"130 E Minnesota Ave Ste 218  Glenwood, MN 56334-4525",320-634-7706
Minnesota,MN,Ramsey County,County,"90 W Plato Blvd Ste 160  St Paul, MN 55107",651-266-2171
Minnesota,MN,Red Lake County,County,"124 Langevin Ave  Red Lake Falls, MN 56750",218-253-2598
Minnesota,MN,Redwood County,County,"403 S Mill St  Redwood Falls, MN 56283",507-637-4013
Minnesota,MN,Renville County,County,"500 E Depue Ave Ste 202  Olivia, MN 56277",320-523-2071
Minnesota,MN,Rice County,County,"320 3rd St NW  Faribault, MN 55021",507-332-6104
Minnesota,MN,Rock County,County,"204 Brown St E  Luverne, MN 56156",507-283-5060
Minnesota,MN,Roseau County,County,"606 5th Ave SW Rm 160  Roseau, MN 56751-1477",218-463-1282
Minnesota,MN,Saint Louis County,County,"100 N 5th Ave W # 214  Duluth, MN 55802-1293",218-726-2385
Minnesota,MN,Scott County,County,"600 County Trail E Jordan, MN 55352",952-496-8560
Minnesota,MN,Sherburne County,County,"13880 Business Center Drive NW  Elk River, MN 55330",763-765-4351
Minnesota,MN,Sibley County,County,"400 Court Avenue  Gaylord, MN 55334-0171",507-237-4070
Minnesota,MN,Stearns County,County,"3301 County Road 138  Waite Park, MN 56387",320-656-6522
Minnesota,MN,Steele County,County,"630 Florence Ave  Owatonna, MN 55060",507-444-7410
Minnesota,MN,Stevens County,County,"400 Colorado Ave Ste 303  Morris, MN 56267",320-208-6570
Minnesota,MN,Swift County,County,"301 14th St N  Benson, MN 56215",320-843-4069
Minnesota,MN,Todd County,County,"215 1st Ave S Ste 201  Long Prairie, MN 56347",320-732-4414
Minnesota,MN,Traverse County,County,"702 2nd Ave N  Wheaton, MN 56296",320-422-7740
Minnesota,MN,Wabasha County,County,"625 Jefferson Ave  Wabasha, MN 55981",651-565-2648
Minnesota,MN,Wadena County,County,"415 S Jefferson St  Wadena, MN 56482",218-631-7792
Minnesota,MN,Waseca County,County,"307 N State St  Waseca, MN 56093",507-835-0622
Minnesota,MN,Washington County,County,"14949 62nd St N  Stillwater, MN 55082",651-430-6175
Minnesota,MN,Watonwan County,County,"710 2nd Ave S Saint James, MN 56081",507-375-1210
Minnesota,MN,Wilkin County,County,"300 S 5th St  Breckenridge, MN 56520",218-643-7165
Minnesota,MN,Winona County,County,"202 W Third St Winona, MN 55987",507-457-8830
Minnesota,MN,Wright County,County,"10 2nd St NW Rm 230  Buffalo, MN 55313-1195",763-682-7692
Minnesota,MN,Yellow Medicine County,County,"180 8th Ave  Granite Falls, MN 56241-1508",320-564-3132
